Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 1 million population,Cases - newly reported in last 7 days,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 1 million population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 24 hours,Transmission Classification
Gibraltar,Europe,1282,38051.71,200,38,6,178.09,0,0,Clusters of cases
Sao Tome and Principe,Africa,1012,4617.65,2,0,17,77.57,0,0,Community transmission
Mongolia,Western Pacific,1006,306.87,89,13,0,0,0,0,Clusters of cases
Saint Martin,Americas,948,24522.1,49,0,12,310.41,0,0,Community transmission
Eritrea,Africa,832,234.6,121,25,1,0.28,1,1,Sporadic cases
Turks and Caicos Islands,Americas,798,20610.57,29,0,6,154.97,0,0,Clusters of cases
Burundi,Africa,773,65.01,32,11,2,0.17,1,0,Community transmission
Papua New Guinea,Western Pacific,761,85.06,32,0,9,1.01,1,0,Community transmission
Monaco,Europe,756,19264.09,75,14,3,76.44,0,0,Sporadic cases
Other,Other,744,,0,0,13,,0,0,Not applicable
Comoros,Africa,666,765.87,38,0,7,8.05,0,0,Community transmission
Faroe Islands,Europe,550,11255.5,20,3,0,0,0,0,Sporadic cases
Bermuda,Americas,547,8783.9,91,20,9,144.52,0,0,Clusters of cases
Mauritius,Africa,524,412.02,10,0,10,7.86,0,0,Clusters of cases
United Republic of Tanzania,Africa,509,8.52,0,0,21,0.35,0,0,Community transmission
Bhutan,South-East Asia,482,624.67,43,3,0,0,0,0,Clusters of cases
Isle of Man,Europe,374,4398.34,1,0,25,294.01,0,0,No cases
Cambodia,Western Pacific,363,21.71,1,0,0,0,0,0,Sporadic cases
Barbados,Americas,322,1120.49,25,1,7,24.36,0,0,Clusters of cases
Cayman Islands,Americas,316,4808.28,14,0,2,30.43,0,0,Sporadic cases
Saint Lucia,Americas,303,1650.08,25,16,5,27.23,1,0,Sporadic cases
Guernsey,Europe,293,4636.37,2,0,13,205.71,0,0,Community transmission
Seychelles,Africa,211,2145.46,26,9,0,0,0,0,Sporadic cases
Saint Barthélemy,Americas,182,18411.73,10,0,0,0,0,0,Sporadic cases
Bonaire,Americas,155,7410.95,1,0,3,143.44,0,0,Sporadic cases
Antigua and Barbuda,Americas,153,1562.36,5,0,5,51.06,0,0,Sporadic cases
Brunei Darussalam,Western Pacific,152,347.45,0,0,3,6.86,0,0,No cases
Northern Mariana Islands (Commonwealth of the),Western Pacific,118,2050.14,5,2,2,34.75,0,0,Pending
Grenada,Americas,107,950.92,36,0,0,0,0,0,Sporadic cases
Saint Vincent and the Grenadines,Americas,107,964.49,9,3,0,0,0,0,Sporadic cases
Dominica,Americas,92,1277.94,4,0,0,0,0,0,Clusters of cases
British Virgin Islands,Americas,86,2844.2,6,0,1,33.07,0,0,Clusters of cases
Fiji,Western Pacific,46,51.31,0,0,2,2.23,0,0,Sporadic cases
Lao People's Democratic Republic,Western Pacific,41,5.64,0,0,0,0,0,0,Sporadic cases
New Caledonia,Western Pacific,38,133.1,2,1,0,0,0,0,Sporadic cases
Timor-Leste,South-East Asia,33,25.03,2,2,0,0,0,0,Sporadic cases
Saint Kitts and Nevis,Americas,30,563.99,2,0,0,0,0,0,Sporadic cases
Holy See,Europe,26,32138.44,0,0,0,0,0,0,Sporadic cases
Greenland,Europe,24,422.74,5,0,0,0,0,0,No cases
Falkland Islands (Malvinas),Americas,23,6603.5,4,0,0,0,0,0,No cases
Sint Eustatius,Americas,19,6052.88,1,0,0,0,0,0,Sporadic cases
Solomon Islands,Western Pacific,17,24.75,0,0,0,0,0,0,Sporadic cases
Saint Pierre and Miquelon,Americas,15,2588.44,1,0,0,0,0,0,Sporadic cases
Montserrat,Americas,13,2600.52,0,0,1,200.04,0,0,No cases
Anguilla,Americas,10,666.58,0,0,0,0,0,0,Sporadic cases
Saba,Americas,5,2586.65,0,0,0,0,0,0,No cases
Marshall Islands,Western Pacific,4,67.57,0,0,0,0,0,0,Sporadic cases
Wallis and Futuna,Western Pacific,4,355.68,0,0,0,0,0,0,Sporadic cases
Vanuatu,Western Pacific,1,3.26,0,0,0,0,0,0,No cases
American Samoa,Western Pacific,0,0,0,0,0,0,0,0,No cases
Cook Islands,Western Pacific,0,0,0,0,0,0,0,0,No cases
Democratic People's Republic of Korea,South-East Asia,0,0,0,0,0,0,0,0,No cases
Kiribati,Western Pacific,0,0,0,0,0,0,0,0,No cases
Micronesia (Federated States of),Western Pacific,0,0,0,0,0,0,0,0,No cases
Nauru,Western Pacific,0,0,0,0,0,0,0,0,No cases
Niue,Western Pacific,0,0,0,0,0,0,0,0,No cases
Palau,Western Pacific,0,0,0,0,0,0,0,0,No cases
Pitcairn Islands,Western Pacific,0,0,0,0,0,0,0,0,No cases
Saint Helena,Africa,0,0,0,0,0,0,0,0,No cases
Samoa,Western Pacific,0,0,0,0,0,0,0,0,No cases
Tokelau,Western Pacific,0,0,0,0,0,0,0,0,No cases
Tonga,Western Pacific,0,0,0,0,0,0,0,0,No cases
Turkmenistan,Europe,0,0,0,0,0,0,0,0,No cases
Tuvalu,Western Pacific,0,0,0,0,0,0,0,0,No cases
